person,image,width,height,blur,brightness,status
person_0001,frame_101_face.jpg,28,50,363.48,129.89,Accepted
person_0001,frame_111_face.jpg,27,48,482.53,126.01,Accepted
person_0001,frame_121_face.jpg,29,49,411.55,129.41,Accepted
person_0001,frame_131_face.jpg,33,51,468.02,127.96,Accepted
person_0001,frame_141_face.jpg,33,51,497.13,127.93,Accepted
person_0001,frame_151_face.jpg,35,55,426.65,125.89,Accepted
person_0001,frame_161_face.jpg,33,53,498.14,128.62,Accepted
person_0001,frame_171_face.jpg,32,52,514.59,133.09,Accepted
person_0001,frame_181_face.jpg,31,48,516.7,131.33,Accepted
person_0001,frame_191_face.jpg,30,52,619.49,132.83,Accepted
person_0001,frame_201_face.jpg,31,48,506.65,123.19,Accepted
person_0001,frame_211_face.jpg,32,48,398.12,131.55,Accepted
person_0001,frame_221_face.jpg,33,52,564.04,126.23,Accepted
person_0001,frame_231_face.jpg,35,51,400.54,127.72,Accepted
person_0001,frame_241_face.jpg,36,49,537.3,113.45,Accepted
person_0001,frame_251_face.jpg,39,51,552.94,105.05,Accepted
person_0001,frame_261_face.jpg,39,52,405.82,104.31,Accepted
person_0001,frame_271_face.jpg,39,53,420.26,105.15,Accepted
person_0001,frame_281_face.jpg,35,51,666.77,123.69,Accepted
person_0001,frame_291_face.jpg,31,50,882.87,137.08,Accepted
person_0001,frame_301_face.jpg,30,49,491.51,128.58,Accepted
person_0001,frame_311_face.jpg,30,48,409.26,106.75,Accepted
person_0001,frame_321_face.jpg,29,48,611.2,105.65,Accepted
person_0001,frame_331_face.jpg,29,46,517.31,103.24,Accepted
person_0001,frame_341_face.jpg,30,47,587.26,104.98,Accepted
person_0001,frame_351_face.jpg,28,46,731.03,124.94,Accepted
person_0001,frame_361_face.jpg,30,46,745.11,128.51,Accepted
person_0001,frame_371_face.jpg,32,47,591.02,128.44,Accepted
person_0001,frame_381_face.jpg,31,49,663.81,122.53,Accepted
person_0001,frame_391_face.jpg,32,49,522.98,119.3,Accepted
person_0001,frame_401_face.jpg,32,49,436.69,115.92,Accepted
person_0001,frame_411_face.jpg,31,49,581.0,123.31,Accepted
person_0001,frame_421_face.jpg,31,49,413.43,122.59,Accepted
person_0001,frame_431_face.jpg,32,48,345.39,126.09,Accepted
person_0001,frame_441_face.jpg,34,49,418.64,120.31,Accepted
person_0001,frame_451_face.jpg,36,48,380.91,111.21,Accepted
person_0001,frame_461_face.jpg,35,49,347.74,116.74,Accepted
person_0001,frame_471_face.jpg,32,52,368.94,128.72,Accepted
person_0001,frame_481_face.jpg,30,51,550.21,137.66,Accepted
person_0001,frame_491_face.jpg,31,49,342.47,120.4,Accepted
person_0001,frame_501_face.jpg,28,47,400.33,109.76,Accepted
person_0001,frame_511_face.jpg,29,47,372.96,121.23,Accepted
person_0001,frame_521_face.jpg,29,45,385.71,123.92,Accepted
person_0001,frame_531_face.jpg,29,46,322.4,123.55,Accepted
person_0001,frame_541_face.jpg,28,46,344.34,124.8,Accepted
person_0001,frame_551_face.jpg,27,46,415.8,117.65,Accepted
person_0001,frame_571_face.jpg,26,43,344.94,115.77,Accepted
person_0001,frame_581_face.jpg,25,42,422.13,114.62,Accepted
person_0001,frame_591_face.jpg,25,45,380.18,115.9,Accepted
person_0001,frame_601_face.jpg,26,44,681.94,121.57,Accepted
person_0001,frame_611_face.jpg,31,48,733.16,122.78,Accepted
person_0001,frame_621_face.jpg,31,45,878.83,113.14,Accepted
person_0001,frame_631_face.jpg,34,48,573.01,105.14,Accepted
person_0001,frame_641_face.jpg,32,42,674.92,104.3,Accepted
person_0001,frame_651_face.jpg,32,43,629.18,103.32,Accepted
person_0001,frame_661_face.jpg,31,44,728.22,102.64,Accepted
person_0001,frame_671_face.jpg,32,44,597.59,103.68,Accepted
person_0001,frame_681_face.jpg,31,44,589.86,101.47,Accepted
person_0001,frame_691_face.jpg,32,44,616.52,99.62,Accepted
person_0001,frame_701_face.jpg,32,42,567.59,105.78,Accepted
person_0001,frame_711_face.jpg,32,44,596.22,104.16,Accepted
person_0001,frame_721_face.jpg,32,44,651.44,103.14,Accepted
